"","pupilid","schoolid","district","bungoma","division","zone","tracking","sbm","girl","agetest","etpteacher","lowstream","stream_meanpercentile","SDstream_std_mark","MEANstream_std_mark","bottomhalf","tophalf","bottomquarter","secondquarter","thirdquarter","topquarter","std_mark","percentile","realpercentile","quantile5p","attrition","wordscore","sentscore","letterscore","spellscore","sentscore24","letterscore24","spellscore24","litscore","additions_score","substractions_score","multiplications_score","mathscoreraw","totalscore","rMEANstream_std_baselinemark","rSDstream_std_baselinemark","rMEANstream_std_total","rSDstream_std_total","rMEANstream_std_math","rSDstream_std_math","rMEANstream_std_lit","rSDstream_std_lit","r2_attrition","r2_age","r2_wordscore","r2_sentscore","r2_letterscore","r2_spellscore","r2_sentscore24","r2_letterscore24","r2_spellscore24","r2_litscore","r2_mathscoreraw","r2_additions_score","r2_substractions_score","r2_multiplications_score","r2_totalscore"
"1",4301003,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,8,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-2.14502501487732,3.20513248443604,4,1,0,0,6,0,0,3.59999990463257,0,0,0.899999976158142,1,1,0,2,2.90000009536743,-0.832558929920197,0.657308340072632,-0.30253341794014,0.704503238201141,-0.252555102109909,0.975930154323578,-0.263219505548477,0.478207886219025,0,8,0,7,0,0,4.19999980926514,0,0,1.04999995231628,2,1,1,0,3.04999995231628
"2",4301004,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,14,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-1.87948381900787,4.48718070983887,5,1,0,0,1,1,0,0.600000023841858,0.342857152223587,0,0.235714286565781,0,0,0,0,0.235714286565781,-0.829999387264252,0.666239440441132,-0.298948884010315,0.68364804983139,-0.247567594051361,0.954491198062897,-0.261130899190903,0.472176134586334,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",4301005,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,11,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-1.8096045255661,5.7692289352417,6,2,0,0,0,10,0,0,3.42857146263123,0,0.857142865657806,4,5,0,9,9.85714244842529,-0.829473197460175,0.668132781982422,-0.316660076379776,0.720718562602997,-0.285349190235138,0.977596461772919,-0.263081163167953,0.477876216173172,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4301007,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,10,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-1.19466698169708,8.33333778381348,9,2,0,0,0,7,0,0,2.40000009536743,0,0.600000023841858,2,4,0,6,6.59999990463257,-0.827356457710266,0.677330553531647,-0.309189200401306,0.719361007213593,-0.268296658992767,0.989214062690735,-0.262261837720871,0.475721687078476,0,10,0,0,7,0,0,2.40000009536743,0,0.600000023841858,8,2,6,0,8.60000038146973
"5",4301009,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,10,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-1.36237716674805,10.8974342346191,11,3,0,0,0,14,0,0,4.80000019073486,0,1.20000004768372,3,1,0,4,5.19999980926514,-0.827496767044067,0.67609691619873,-0.306443601846695,0.715490639209747,-0.259476780891418,0.986888885498047,-0.264201074838638,0.480313092470169,0,9,4,4,25,0,2.40000009536743,8.5714282989502,0,3.74285697937012,7,4,3,0,10.7428569793701
"6",4301010,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,9,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-1.12478768825531,12.1794881820679,13,3,0,0,0,32,0,0,10.9714288711548,0,2.7428572177887,4,3,0,7,9.74285697937012,-0.827392101287842,0.677574098110199,-0.316371709108353,0.720847725868225,-0.273445516824722,0.98737096786499,-0.269633293151855,0.485383987426758,0,9,0,4,70,0,2.40000009536743,24,0,6.59999990463257,14,5,6,3,20.6000003814697
"7",4301011,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,10,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-1.25755822658539,13.4615421295166,14,3,0,0,0,41,3,0,14.0571432113647,7.19999980926514,5.31428575515747,5,6,0,11,16.3142852783203,-0.827371597290039,0.676976084709167,-0.336274713277817,0.691708326339722,-0.299677073955536,0.958871841430664,-0.280186772346497,0.472986698150635,0,9,20,10,66,4,6,22.6285705566406,9.60000038146973,14.5571422576904,14,7,4,3,28.5571422576904
"8",4301012,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,0,10,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-0.985029101371765,14.7435903549194,15,3,0,0,5,29,0,3,9.94285678863525,0,3.23571419715881,3,3,2,8,11.2357139587402,-0.827627539634705,0.677590608596802,-0.320291131734848,0.71814888715744,-0.279118150472641,0.983523428440094,-0.271507233381271,0.485031425952911,0,9,0,0,62,0,0,21.2571430206299,0,5.31428575515747,14,7,5,2,19.3142852783203
"9",4301013,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,7,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-0.880210161209106,16.0256385803223,17,4,0,3,0,45,1,0,15.4285717010498,2.40000009536743,5.20714282989502,4,4,0,8,13.207142829895,-0.827946662902832,0.677195012569427,-0.325992077589035,0.711168706417084,-0.279118150472641,0.983523428440094,-0.27970752120018,0.474039107561111,0,8,18,27,54,4,16.2000007629395,18.5142860412598,9.60000038146973,15.5785713195801,10,6,4,0,25.5785713195801
"10",4301014,430,"BUNGOMA",1,"KANDUYI","MUNICIPALITY",1,1,1,10,0,1,25.1150550842285,0.669245302677155,-0.819289803504944,1,0,1,0,0,0,-0.838282644748688,17.3076934814453,18,4,0,2,5,28,1,3,9.60000038146973,2.40000009536743,4.25,5,5,0,10,14.25,-0.828108191490173,0.676939368247986,-0.329260170459747,0.705840647220612,-0.29218327999115,0.969450712203979,-0.275582313537598,0.48132061958313,0,9,0,2,39,1,1.20000004768372,13.3714284896851,2.40000009536743,4.24285697937012,17,7,6,4,21.2428569793701
